T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
108,Burundi,2014,Gross enrollment ratio - Tertiary (female),2.5458,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2015,Students enrolled in primary education (thousands),"2,072.4080",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2015,Gross enrollement ratio - Primary (male),133.4977,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2015,Gross enrollment ratio - Primary (female),134.8495,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2015,Students enrolled in secondary education (thousands),664.2430,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2015,Gross enrollment ratio - Secondary (male),47.3248,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2015,Gross enrollment ratio - Secondary (female),42.9619,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Students enrolled in primary education (thousands),"2,126.1730",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Gross enrollement ratio - Primary (male),126.1056,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Gross enrollment ratio - Primary (female),126.1978,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Students enrolled in secondary education (thousands),665.1160,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Gross enrollment ratio - Secondary (male),49.7494,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Gross enrollment ratio - Secondary (female),50.8927,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Students enrolled in tertiary education (thousands),61.7240,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Gross enrollment ratio - Tertiary (male),8.7222,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2017,Gross enrollment ratio - Tertiary (female),3.7436,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Students enrolled in primary education (thousands),82.9850,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Gross enrollement ratio - Primary (male),114.7245,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Gross enrollment ratio - Primary (female),110.1194,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Students enrolled in secondary education (thousands),52.6710,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Gross enrollment ratio - Secondary (male),66.6809,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Gross enrollment ratio - Secondary (female),75.3477,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Students enrolled in tertiary education (thousands),3.9100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Gross enrollment ratio - Tertiary (male),7.2557,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2005,Gross enrollment ratio - Tertiary (female),7.7915,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Students enrolled in primary education (thousands),71.1340,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Gross enrollement ratio - Primary (male),106.1337,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Gross enrollment ratio - Primary (female),99.0388,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Students enrolled in secondary education (thousands),61.6770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Gross enrollment ratio - Secondary (male),79.0906,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Gross enrollment ratio - Secondary (female),94.0470,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Students enrolled in tertiary education (thousands),10.1440,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Gross enrollment ratio - Tertiary (male),15.6767,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2010,Gross enrollment ratio - Tertiary (female),20.2480,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Students enrolled in primary education (thousands),67.0230,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Gross enrollement ratio - Primary (male),103.8661,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Gross enrollment ratio - Primary (female),96.3845,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Students enrolled in secondary education (thousands),59.8230,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Gross enrollment ratio - Secondary (male),81.3298,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Gross enrollment ratio - Secondary (female),91.4762,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Students enrolled in tertiary education (thousands),13.3970,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Gross enrollment ratio - Tertiary (male),19.2219,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2014,Gross enrollment ratio - Tertiary (female),27.4669,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2015,Students enrolled in primary education (thousands),65.5800,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
132,Cabo Verde,2015,Gross enrollement ratio - Primary (male),101.6311,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
