T11,Expenditure on health,,,,,
288,Ghana,2010,Current health expenditure (% of GDP),6.1306,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2014,Current health expenditure (% of GDP),5.6232,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2015,Current health expenditure (% of GDP),6.0877,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2016,Current health expenditure (% of GDP),4.4487,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2000,Domestic general government health expenditure (% of total government expenditure),6.0149,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2005,Domestic general government health expenditure (% of total government expenditure),10.6020,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2010,Domestic general government health expenditure (% of total government expenditure),11.9699,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2014,Domestic general government health expenditure (% of total government expenditure),6.7195,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2015,Domestic general government health expenditure (% of total government expenditure),8.5579,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2016,Domestic general government health expenditure (% of total government expenditure),6.5377,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2000,Current health expenditure (% of GDP),7.2433,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2005,Current health expenditure (% of GDP),8.9966,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2010,Current health expenditure (% of GDP),9.5600,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2014,Current health expenditure (% of GDP),7.9500,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2015,Current health expenditure (% of GDP),8.1943,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2016,Current health expenditure (% of GDP),8.4543,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2000,Domestic general government health expenditure (% of total government expenditure),9.5090,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2005,Domestic general government health expenditure (% of total government expenditure),12.0483,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2010,Domestic general government health expenditure (% of total government expenditure),12.4371,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2014,Domestic general government health expenditure (% of total government expenditure),9.1337,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2015,Domestic general government health expenditure (% of total government expenditure),8.7849,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
300,Greece,2016,Domestic general government health expenditure (% of total government expenditure),10.3212,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2000,Current health expenditure (% of GDP),5.1010,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2005,Current health expenditure (% of GDP),5.2710,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2010,Current health expenditure (% of GDP),6.0906,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2014,Current health expenditure (% of GDP),5.1992,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2015,Current health expenditure (% of GDP),4.8639,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2016,Current health expenditure (% of GDP),5.2467,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2000,Domestic general government health expenditure (% of total government expenditure),6.8306,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2005,Domestic general government health expenditure (% of total government expenditure),9.9802,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2010,Domestic general government health expenditure (% of total government expenditure),9.8374,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2014,Domestic general government health expenditure (% of total government expenditure),7.0891,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2015,Domestic general government health expenditure (% of total government expenditure),7.4443,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
308,Grenada,2016,Domestic general government health expenditure (% of total government expenditure),9.0177,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
320,Guatemala,2000,Current health expenditure (% of GDP),5.7087,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
320,Guatemala,2005,Current health expenditure (% of GDP),6.3367,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
320,Guatemala,2010,Current health expenditure (% of GDP),6.0774,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
320,Guatemala,2014,Current health expenditure (% of GDP),5.9377,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
320,Guatemala,2015,Current health expenditure (% of GDP),5.5159,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
320,Guatemala,2016,Current health expenditure (% of GDP),5.8203,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
320,Guatemala,2000,Domestic general government health expenditure (% of total government expenditure),13.9579,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
