T04,International migrants and refugees,,,,,
9,Oceania,2017,Total refugees and people in refugee-like situations (number),58119.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2017,"Asylum seekers, including pending cases (number)",36457.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2017,Total population of concern to UNHCR (number),94576.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2018,Total refugees and people in refugee-like situations (number),64853.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2018,"Asylum seekers, including pending cases (number)",49991.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2018,Other of concern to UNHCR (number),46.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2018,Total population of concern to UNHCR (number),114890.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
53,Australia and New Zealand,2005,International migrant stock: Both sexes (number),5717982.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2005,International migrant stock: Both sexes (% total population),23.4591,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2005,International migrant stock: Male (% total Population),23.3116,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2005,International migrant stock: Female (% total Population),23.6052,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2010,International migrant stock: Both sexes (number),6830423.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2010,International migrant stock: Both sexes (% total population),25.7848,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2010,International migrant stock: Male (% total Population),25.6003,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2010,International migrant stock: Female (% total Population),25.9682,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2015,International migrant stock: Both sexes (number),7750276.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2015,International migrant stock: Both sexes (% total population),27.2762,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2015,International migrant stock: Male (% total Population),26.8851,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2015,International migrant stock: Female (% total Population),27.6631,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2017,International migrant stock: Both sexes (number),8102983.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2017,International migrant stock: Both sexes (% total population),27.7915,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2017,International migrant stock: Male (% total Population),27.3047,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
53,Australia and New Zealand,2017,International migrant stock: Female (% total Population),28.2727,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
54,Melanesia,2005,International migrant stock: Both sexes (number),103878.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
