X26,Water supply and sanitation services,,,,,
156,China,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",47.5620,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",92.3262,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",83.6960,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",56.0706,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",72.0823,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2005,"Safely managed drinking water sources, urban (Proportion of population with access)",88.2256,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2005,"Safely managed drinking water sources, total (Proportion of population with access)",88.2256,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",92.0626,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2005,"Safely managed sanitation facilities, total (Proportion of population with access)",92.0626,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",97.1780,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.1780,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.9421,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2010,"Safely managed sanitation facilities, total (Proportion of population with access)",91.9421,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2017,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2017,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.7735,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
344,"China, Hong Kong SAR",2017,"Safely managed sanitation facilities, total (Proportion of population with access)",91.7735,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
446,"China, Macao SAR",2005,"Safely managed drinking water sources, urban (Proportion of population with access)",99.9697,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
446,"China, Macao SAR",2005,"Safely managed drinking water sources, total (Proportion of population with access)",60.8055,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
446,"China, Macao SAR",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.9879,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
446,"China, Macao SAR",2010,"Safely managed drinking water sources, total (Proportion of population with access)",80.2240,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
446,"China, Macao SAR",2017,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
446,"China, Macao SAR",2017,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
170,Colombia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",81.2262,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
170,Colombia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",35.0054,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
